,content,query,tweetDate,twitterProfile
3645,"6 - Foreign players to score in each of the first two Milan derbies for Inter in Serie A in the three points for a win era:

Djorkaeff
Ronaldo
Simeone
Ibrahimovic 
Milito
#Lukaku.

Circle.",#lukaku,2020-02-09 21:44:35+00:00,https://twitter.com/OptaPaolo
4955,"Potete solo sognarli questi giocatori, #Vecino e #Brozovic #Barella miglior centrocampo della serie A per distacco.#InterMilan",#brozovic,2020-02-09 21:44:36+00:00,https://twitter.com/Malach_ite
3699,@Georgehill1234 Almost like he’s class! #Lukaku,#lukaku,2020-02-09 21:44:42+00:00,https://twitter.com/OwenRusson
3692,"Why did @ManUtd sell #Lukaku?

17 goals from 23 Serie A games

''ManUtd hipsters were more concerned about his 1st touch''",#lukaku,2020-02-09 21:44:44+00:00,https://twitter.com/Arsenalman2011
3877,"De las minas del Congo belga viene a definir el #DerbyDellaMadoninna 
#Lukaku https://t.co/wVVElmkf5g",#lukaku,2020-02-09 21:44:45+00:00,https://twitter.com/bartije
3680,The donkey bossing the farmers league #lukaku,#lukaku,2020-02-09 21:44:49+00:00,https://twitter.com/ryanturley14
3860,"@goal This @Inter team is better than juves ...wathcing how they both play..they might win the league cos they have a team while, juve only has big names #lukaku #inter #sansiro #derby #milan",#lukaku,2020-02-09 21:44:56+00:00,https://twitter.com/ApatiraTaiwo
3657,"Interrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr
#Inter #InterMilan #Lukaku https://t.co/zg7F6C4kE6",#lukaku,2020-02-09 21:45:06+00:00,https://twitter.com/jmarino63
4843,"CHE SQUADRA, CHE PALLE DI DIMENSIONI CUBICHE. 

Fortunato #Conte ma queste partite vanno vinte in qualche modo. #Lukaku uomo squadra stupendo.

#Devrij fenomeno, #Barella pazzesco ma #Brozovic è un FENOMENO VERO. 

@Inter ti amo ⚫️🔵",#brozovic,2020-02-09 21:45:07+00:00,https://twitter.com/Filoribs
5109,"#icardi is for boys
#lukaku is for men

#intermilan #DerbyDellaMadoninna #DerbyMilano #Ibrahimovic #seriea #brozovic #devrij",#brozovic,2020-02-09 21:45:14+00:00,https://twitter.com/n1k0forfreedom
5056,"SALUTATE LA CAPOLISTA!!! 💙🖤 #InterMilan 4-2 un MONUMENTO a #Barella #DeVrij #Brozovic e #Conte.
Ma bravi tutti a crederci 😍😍😍",#brozovic,2020-02-09 21:45:18+00:00,https://twitter.com/pino_nostro
3905,Perché il piccolo Leo lo sapeva 🖤💙 #amala #DerbyDellaMadoninna #Lukaku https://t.co/rxbEAOrKeU,#lukaku,2020-02-09 21:45:22+00:00,https://twitter.com/FranciTre
3698,"Can we just take time out to appreciate Ashley young, he was amazing in my opinion, #Lukaku #InterMilan",#lukaku,2020-02-09 21:45:41+00:00,https://twitter.com/bossy_biatch
4899,"#AnyGivenSunday #SerieA #InterMilan 4-2 #risultatofinale Epica rimonta dell'#Inter: #Milan avanti con #Rebic e #Ibrahimovic, nella ripresa la rimonta firmata #Brozovic, #Vecino, #DeVrij, #Lukaku. I nerazzurri agganciano la #Juventus al primo posto!",#brozovic,2020-02-09 21:45:42+00:00,https://twitter.com/SSportNetwork
4042,Ogni allenatore di calcio dovrebbe portare con sé una VHS o un CD con sopra una etichetta con scritto #Lukaku da poterla fare vedere ai proprio attaccanti come si svolge il proprio ruolo. Poesia per chi ama il calcio. #InterMilan #DerbyDellaMadoninna,#lukaku,2020-02-09 21:45:48+00:00,https://twitter.com/SorrentinoEnzo
4979,"Den Treffer von #Brozovic im Mailänder Derby siehst du jetzt im Video:
https://t.co/q48egYi9wZ
#InterMilan",#brozovic,2020-02-09 21:46:08+00:00,https://twitter.com/sportch
5121,"⚫️🔵 #InterMilan 3️⃣➖2️⃣
⏱FT

Triplice fischio alla “Scala del Calcio” con #Brozovic, #Vecino e #deVrij e #Lukaku che la ribaltano dopo un primo tempo rossonero. Il belga crea caos, #Ibrahimovic diventa letale. #NotForEveryone",#brozovic,2020-02-09 21:46:15+00:00,https://twitter.com/BandieraInter
3720,"#Lukaku wins it.
#DerbyDiMilano 
#Inter 
#SerieA @DAZN_CA https://t.co/RDosOFnpjV",#lukaku,2020-02-09 21:46:16+00:00,https://twitter.com/sereno_chapin
3651,“Fuck off!!” #lukaku,#lukaku,2020-02-09 21:46:27+00:00,https://twitter.com/AMIN1908
5041,#brozovic ha avuto il merito di riaprire la partita con una magia.,#brozovic,2020-02-09 21:46:31+00:00,https://twitter.com/EngGliantonelli
3639,another Remontada . thank you #Inter thank you #Lukaku https://t.co/EZe6jl5c7d,#lukaku,2020-02-09 21:46:35+00:00,https://twitter.com/yrarhoute
3824,"Hold up ⚡
Pass ⚡
Header ⚡
Celebration⚡

King lukaku of Italy
#InterMilan 
#lukaku
#MilanDerby",#lukaku,2020-02-09 21:46:39+00:00,https://twitter.com/J_AddoThompson
3654,Best number 9 again and again and again #Lukaku 🖤💙🖤💙🖤 https://t.co/qySwo4X5Dy,#lukaku,2020-02-09 21:46:52+00:00,https://twitter.com/Abdullah_S_Z_87
3950,"Milano derbisinde kazanan İnter oldu! 6 gollü maç

https://t.co/tXg1KYA40J

#InterMilan #İnter #Milan #HakanÇalhanoğlu #Lukaku",#lukaku,2020-02-09 21:46:56+00:00,https://twitter.com/yeniakit
3763,#Lukaku anaball For Real 💪🏾,#lukaku,2020-02-09 21:46:59+00:00,https://twitter.com/Thakwa_
